 Imunizações - Cobertura - São Paulo;;;;;;;;;;;;
Cobertura por Divisão administ estadual e Ano;;;;;;;;;;;;
Imuno: 061 Rotavírus Humano;;;;;;;;;;;;
Período:2000-2016;;;;;;;;;;;;
Divisão administ estadual;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;Total
3501 Grande São Paulo;54,04;83,02;83,46;85,72;86,52;91,33;88,48;97,02;90,89;94,79;87,39;61,66
3502 Araçatuba;68,34;98,44;100,06;97,3;94,31;103,29;102,64;100,17;100,44;97,35;104,95;71,66
3503 Araraquara;59,7;91,44;90,58;92,36;89,72;93,38;91,48;99,64;91,36;95,86;85,17;65,47
3504 Baixada Santista;54,99;89,83;95,08;95,61;97,24;94,1;95,85;94,84;92,46;96,08;81,42;65,24
3505 Barretos;67,1;95,58;94,91;97,31;95,11;100,06;96,47;96,81;95,6;101,18;100,32;68,67
3506 Bauru;63,86;93,7;92,42;95,11;96,39;99,53;96,7;94,88;96,26;98,93;99,8;67,35
3507 Campinas;56,73;90,25;89,65;93,25;92,64;97,76;94,92;101,07;98,11;99,46;103,07;68,56
3508 Franca;63,89;96;97,38;98,04;93,42;94,91;87,66;97,12;94,09;91,42;65,51;63,67
3509 Marília;50,84;89,05;93,19;95,03;94,99;96,69;91,83;95,97;93,61;92;88,89;63,91
3510 Piracicaba;53,95;90,44;89,51;92,6;92,4;98,11;99,2;103,51;99,17;99,41;92,66;67,06
3511 Presidente Prudente;62,06;95,19;94,72;98,18;96,06;102,99;94,16;98,31;100,94;103,79;97,06;67,76
3512 Registro;56,78;88,75;91,37;91,97;90,18;90,27;90,85;90,96;98,83;103,96;115,64;63,06
3513 Ribeirão Preto;64,69;89,76;87,19;91,07;90,7;93,64;91,34;95,34;96,22;113,36;73,52;65,78
3514 São João da Boa Vista;68,43;99,6;94,59;96,59;97,97;99,19;97,38;100,7;100,05;98,11;89,17;67,3
3515 São José do Rio Preto;61,52;90,68;88,51;95,83;95,72;97,16;97,47;102,34;102,69;102,81;93,87;69,22
3516 Sorocaba;54,75;85,05;87,28;91,43;84,99;95,87;93,99;96,74;95,15;99,03;94,4;63,79
3517 Taubaté;55,3;84,92;84,7;90,27;86,1;94,6;93,59;94,89;97,89;97,5;96,31;64,13
Total;56,19;86,54;86,87;89,57;89,24;93,95;91,56;97,51;93,85;97;90,32;63,94
 Fonte: Programa Nacional de Imunizações;;;;;;;;;;;;
 Notas:;;;;;;;;;;;Média =; 90,94 
 ;;;;;;;;;;;;90,94
 ;;;;;;;;;;;;
Data de atualização dos dados: 16/08/2018;;;;;;;;;;;;
 ;;;;;;;;;;;;
 ;;;;;;;;;;;;
Os dados apresentados em 2013 se referem à soma dos seguintes dados:;;;;;;;;;;;;
;;;;;;;;;;;;
Até Junho de 2013: dados do API DOS;;;;;;;;;;;;
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada);;;;;;;;;;;;
Base de dados do ano de 2013 foi encerrada em 23/03/2015.;;;;;;;;;;;;
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação;;;;;;;;;;;;
;;;;;;;;;;;;
 ;;;;;;;;;;;;
2014:00:00;;;;;;;;;;;;
;;;;;;;;;;;;
Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.;;;;;;;;;;;;
;;;;;;;;;;;;
 Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;;;;
